# ID, X, Y, Demand, EarliestTime, LatestTime, ServiceTime, Type
# Depot (id=0, located at origin)
0,0.00,0.00,0.00,0.00,24.00,0.00,depot
# Refueling stations
1,25.50,30.75,0.00,0.00,24.00,0.00,refueling_station
2,-27.30,18.40,0.00,0.00,24.00,0.00,refueling_station
3,40.20,-35.60,0.00,0.00,24.00,0.00,refueling_station
# Customer locations with demands and time windows
4,12.35,8.75,18.50,8.00,12.00,1.50,customer
5,-15.40,22.60,12.75,9.00,14.00,1.00,customer
6,30.25,-12.80,22.30,8.30,11.30,2.00,customer
7,-8.90,-25.60,15.20,10.00,15.00,1.20,customer
8,18.75,35.40,20.10,7.30,10.30,1.80,customer
9,-32.40,-5.60,14.60,9.30,13.30,1.30,customer
10,5.60,45.20,8.90,11.00,16.00,0.80,customer
11,22.80,-38.50,16.40,8.00,13.00,1.50,customer
12,-18.70,-14.30,19.80,9.00,12.00,1.70,customer
13,42.30,15.80,11.20,10.30,14.30,1.00,customer
14,-35.90,28.40,17.60,8.30,12.30,1.60,customer
15,8.20,-18.70,13.50,9.30,13.30,1.20,customer
16,38.10,42.30,21.40,7.00,11.00,2.00,customer
17,-22.50,-32.60,9.80,10.00,15.00,0.90,customer
18,15.30,25.70,14.20,8.30,12.30,1.30,customer
19,-5.40,-42.80,18.30,9.00,13.00,1.70,customer
20,28.90,5.60,10.90,10.30,15.30,1.00,customer
